,ags_list
176,"{8325069: 0.9981523593785618, 8325049: 0.727337794988302, 8325060: 0.9998968682028859, 8325011: 0.9997718566932257}"
177,"{8115054: 0.9992203807835007, 8115029: 0.9988242332986551, 8115041: 0.9998689287511251}"
566,{5512000: 0.18512491262321976}
1056,"{9674130: 0.9999781843892139, 9471133: 0.9999293328571205, 9674190: 0.999911022737891, 9674210: 0.9995501583121202, 9674184: 0.9999167408649376}"
1423,"{8226099: 0.9997515644987478, 8221000: 0.3948324221886751}"
1574,"{8226041: 0.9998920838941215, 8226076: 0.9999383720698728, 8226022: 0.9998439121305341}"
1690,"{3351017: 0.8963090440221223, 3351015: 0.9969939649875426, 3351002: 0.9999987277724892, 3351008: 0.9998786436451667, 3351016: 0.9999353919809345, 3351003: 0.9999386194279103}"
1811,"{13076120: 0.9999350785569152, 13076089: 1.0, 13076006: 0.9999461903643192, 13076051: 1.0, 13076151: 1.0, 13076040: 0.9999644225344295, 13076109: 1.0, 13076048: 0.9991619207220961, 13076135: 0.9985560866189072, 13076096: 0.9999662828004598, 13076164: 0.9997485649488503, 13076166: 0.999935486034828, 13076165: 0.99998225208386, 13076075: 0.999750998621614, 13076043: 0.999970871374065, 13076077: 0.9999849406515797}"
1839,"{13074018: 0.9999159765911463, 13074028: 0.997752361784556, 13074042: 0.9999806331216378, 13074013: 0.9999704439948318, 13074092: 0.9998661999375674, 13074065: 0.9999072068997902, 1053062: 0.9974969031036338, 1053093: 0.998255542465369, 13074068: 0.9990968689911975}"
2079,"{9778186: 0.9999503302524706, 9778168: 0.9999438047292181, 9778196: 0.9988390528394872, 9778118: 0.17159007091598583, 9778149: 0.9988876145202309, 9778451: 0.9998098998624012, 9778205: 0.999523888051295}"
2095,{5334032: 0.5072165893325663}
2534,{9184119: 0.9997978056957771}
3008,"{4012000: 0.10051602115512963, 3352050: 0.9990486961258016}"
3267,"{8126072: 0.999950610890975, 8225001: 0.9999723200510767, 8225114: 0.9999650480893891, 8225075: 0.9999749092417787, 8225082: 0.9999541694820185, 8225091: 0.9982589971597111}"
3280,{8225039: 0.6451622119844977}
